row_name,uniq_idx,uniq_idx_sum,entro,vec_sum,sim_sum,sim_min,sim_max,is_sampled,uniq_rank,id,lon,lat
TQ4870b,0.77849,38924.41353,10.0149,1.26859,11075.58647,0,1,True,584058,TQ4870b,548750,170250
TQ4870c,0.76033,38016.61995,10.12772,1.35904,11983.38005,0,1,True,684033.5,TQ4870c,548750,170750
TQ4870d,0.75564,37782.18835,10.15367,1.38467,12217.81165,0,1,True,710902,TQ4870d,548250,170750
TQ4871a,0.74804,37401.82113,10.19357,1.42882,12598.17887,0,1,True,754629,TQ4871a,548250,171250
TQ4871b,0.7504,37520.023,10.18144,1.41473,12479.977,0,1,True,740878.5,TQ4871b,548750,171250
TQ4871c,0.74362,37180.96486,10.21564,1.45616,12819.03514,0,1,True,780226,TQ4871c,548750,171750
TQ4871d,0.74229,37114.3375,10.22216,1.46469,12885.6625,0,1,True,788222,TQ4871d,548250,171750
TQ4872a,0.7377,36885.11129,10.24412,1.49513,13114.88871,0,1,True,815864,TQ4872a,548250,172250
TQ4872b,0.73853,36926.70671,10.24019,1.48948,13073.29329,0,1,True,810892.5,TQ4872b,548750,172250
TQ4872c,0.73448,36724.24885,10.25915,1.51763,13275.75115,0,1,True,835411,TQ4872c,548750,172750
TQ4872d,0.73393,36696.43247,10.26172,1.52162,13303.56753,0,1,True,838783,TQ4872d,548250,172750
TQ4873a,0.73075,36537.32154,10.27626,1.54511,13462.67846,0,1,True,859102,TQ4873a,548250,173250
TQ4873b,0.73114,36557.05199,10.27447,1.54214,13442.94801,0,1,True,856847,TQ4873b,548750,173250
TQ4873c,0.72831,36415.461,10.28723,1.56389,13584.539,0,1,True,872944,TQ4873c,548750,173750
TQ4873d,0.72802,36400.86488,10.28853,1.56619,13599.13512,0,1,True,874563,TQ4873d,548250,173750
TQ4874a,0.72563,36281.73232,10.29912,1.58539,13718.26768,0,1,True,888312.5,TQ4874a,548250,174250
TQ4874b,0.72586,36293.10925,10.29811,1.58352,13706.89075,0,1,True,887045.5,TQ4874b,548750,174250
TQ4874c,0.72371,36185.72612,10.30757,1.60145,13814.27388,0,1,True,899084.5,TQ4874c,548750,174750
TQ4874d,0.72353,36176.66789,10.30837,1.60299,13823.33211,0,1,True,900099,TQ4874d,548250,174750
TQ4875a,0.72254,36126.892,10.31272,1.61157,13873.108,0,1,True,905741,TQ4875a,548250,175250
TQ4875b,0.72244,36122.18413,10.31313,1.61239,13877.81587,0,1,True,906297,TQ4875b,548750,175250
TQ4875c,0.72407,36203.30818,10.30603,1.59847,13796.69182,0,1,True,897154,TQ4875c,548750,175750
TQ4875d,0.72433,36216.62976,10.30486,1.59622,13783.37024,0,1,True,895638.5,TQ4875d,548250,175750
TQ4876a,0.72656,36327.91185,10.29503,1.57786,13672.08815,0,1,True,882953,TQ4876a,548250,176250
TQ4876b,0.72624,36311.85823,10.29645,1.58046,13688.14177,0,1,True,884790,TQ4876b,548750,176250
TQ4876c,0.72869,36434.31309,10.28554,1.56094,13565.68691,0,1,True,870748,TQ4876c,548750,176750
TQ4876d,0.7291,36454.93772,10.28369,1.55773,13545.06228,0,1,True,868446.5,TQ4876d,548250,176750
TQ4877a,0.73205,36602.6401,10.27032,1.53533,13397.3599,0,1,True,851649.5,TQ4877a,548250,177250
